"variant","target","outcome","country","set","n_units","spearman","thin"
"rr10_cs","prev","child_iron","SierraLeone","full",4,0,TRUE
"rr10_cs","prev","child_iron","Gambia","climate_soil",6,0.771428571428571,TRUE
"rr10_cs","prev","child_iron","Ghana","climate_soil",16,0.626470588235294,FALSE
"rr10_cs","prev","child_iron","Malawi","climate_soil",27,0.137362637362637,FALSE
"rr10_cs","prev","child_iron","SierraLeone","climate_soil",4,0.2,TRUE
"rr10_cs","prev","child_iron","Gambia","csa",6,0.6,TRUE
"rr10_cs","prev","child_iron","Ghana","csa",16,0.597058823529412,FALSE
"rr10_cs","prev","child_iron","Malawi","csa",27,0.0860805860805861,FALSE
"rr10_cs","prev","child_iron","SierraLeone","csa",4,0.4,TRUE
"rr10_cs","prev","women_iron","Gambia","full",6,0.314285714285714,TRUE
"rr10_cs","prev","women_iron","Ghana","full",16,0.501839723793734,FALSE
"rr10_cs","prev","women_iron","Malawi","full",27,-0.142857142857143,FALSE
"rr10_cs","prev","women_iron","SierraLeone","full",4,-0.4,TRUE
"rr10_cs","prev","women_iron","Gambia","climate_soil",6,0.657142857142857,TRUE
"rr10_cs","prev","women_iron","Ghana","climate_soil",16,0.582781614728208,FALSE
"rr10_cs","prev","women_iron","Malawi","climate_soil",27,0.00305250305250305,FALSE
"rr10_cs","prev","women_iron","SierraLeone","climate_soil",4,0.4,TRUE
"rr10_cs","prev","women_iron","Gambia","csa",6,0.771428571428571,TRUE
