"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"prev","women_vitA","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.224705060812411
"prev","women_vitA","Malawi","full",1,"Gambia",0.0529536756671224
"prev","women_vitA","Malawi","climate_soil",1,"Gambia",0.0976052251342727
"prev","women_vitA","Malawi","full",1,"Ghana",0.125857707829995
"prev","women_vitA","Malawi","climate_soil",1,"Ghana",0.0946694922954993
"prev","women_vitA","Malawi","full",2,"Gambia+Ghana",0.0712941141545132
"prev","women_vitA","Malawi","climate_soil",2,"Gambia+Ghana",0.10994792986503
"prev","women_vitA","Malawi","full",2,"Gambia+SierraLeone",0.0732512693803621
"prev","women_vitA","Malawi","climate_soil",2,"Gambia+SierraLeone",0.0641126171564385
"prev","women_vitA","Malawi","full",2,"Ghana+SierraLeone",0.147923054650453
"prev","women_vitA","Malawi","climate_soil",2,"Ghana+SierraLeone",0.0132265812843662
"prev","women_vitA","Malawi","full",3,"Gambia+Ghana+SierraLeone",0.0830528290194927
"prev","women_vitA","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.0623922145788777
"prev","women_vitA","SierraLeone","full",1,"Gambia",-0.208166599946613
"prev","women_vitA","SierraLeone","climate_soil",1,"Gambia",-0.132677613152786
"prev","women_vitA","SierraLeone","full",1,"Ghana",-0.029738085706659
"prev","women_vitA","SierraLeone","climate_soil",1,"Ghana",0.0183003604348671
"prev","women_vitA","SierraLeone","full",1,"Malawi",0.384307569132209
"prev","women_vitA","SierraLeone","climate_soil",1,"Malawi",-0.171565879076879
"prev","women_vitA","SierraLeone","full",2,"Gambia+Ghana",-0.125814977989711
"prev","women_vitA","SierraLeone","climate_soil",2,"Gambia+Ghana",-0.0251629955979423
"prev","women_vitA","SierraLeone","full",2,"Gambia+Malawi",-0.118952342826636
"prev","women_vitA","SierraLeone","climate_soil",2,"Gambia+Malawi",-0.118952342826636
"prev","women_vitA","SierraLeone","full",2,"Ghana+Malawi",-0.118952342826636
"prev","women_vitA","SierraLeone","climate_soil",2,"Ghana+Malawi",0.0114377252717919
"prev","women_vitA","SierraLeone","full",3,"Gambia+Ghana+Malawi",-0.0388882659240926
