"outcome","country","rank_from","set","fraction","rep","design","n_units","n_raw_total","n_eff_total","rho_train","rho_obs","mae","spearman","capture"
"child_vitA","Gambia","prev","full",0.1,16,"B_district_survey",30,1020,656.8,0.264,0.654,17.1242237288393,0.391369023404258,0.177199529273779
"child_vitA","Gambia","prev","full",0.1,16,"C_regional_survey",30,1020,656.8,0.264,0.654,12.4056626299075,0.29491714235985,0.250670763758896
"child_vitA","Gambia","prev","full",0.1,17,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.71938051411525,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,17,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,11.515164095426,0.340127218148907,0.190316660826194
"child_vitA","Gambia","prev","full",0.1,17,"B_district_survey",30,1020,656.8,0.264,0.654,16.1695465613544,0.808344878282422,0.182316620575562
"child_vitA","Gambia","prev","full",0.1,17,"C_regional_survey",30,1020,656.8,0.264,0.654,11.2230537182162,0.319001284956263,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,18,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.09028696353932,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,18,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.76502232884946,0.591157588059725,0.231446784797474
"child_vitA","Gambia","prev","full",0.1,18,"B_district_survey",30,1020,656.8,0.264,0.654,14.5154793474542,0.538006745408034,0.28064513360234
"child_vitA","Gambia","prev","full",0.1,18,"C_regional_survey",30,1020,656.8,0.264,0.654,9.76379568867425,0.545301341805577,0.232457604712796
"child_vitA","Gambia","prev","full",0.1,19,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.52326756387618,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,19,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,14.5143904259265,0.59093484593913,0.126002912331804
"child_vitA","Gambia","prev","full",0.1,19,"B_district_survey",30,1020,656.8,0.264,0.654,14.5330695441206,0.620032122983878,0.236637333000617
"child_vitA","Gambia","prev","full",0.1,19,"C_regional_survey",30,1020,656.8,0.264,0.654,14.5118034333271,0.598013804846783,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,20,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.10019680052481,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,20,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,11.4372642864806,0.424991966095688,0.26856381374675
"child_vitA","Gambia","prev","full",0.1,20,"B_district_survey",30,1020,656.8,0.264,0.654,15.2255101609046,0.398816283771259,0.157858385073398
"child_vitA","Gambia","prev","full",0.1,20,"C_regional_survey",30,1020,656.8,0.264,0.654,11.398920351872,0.457144291547009,0.306011767200004
"child_vitA","Gambia","prev","full",0.15,1,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.88689046622655,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,1,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,8.96640824682574,0.637042464902341,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,1,"B_district_survey",30,1020,656.8,0.264,0.654,15.0649153353675,0.587342633679891,0.189640568972326
