"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Gambia","women_vitA",4,5,"enet","domain_index","rf","domain_index",0.496943704465627,0.707795610743517,0.54779263733247,0.992618633207016
"Gambia","women_vitA",4,1,"rf","domain_index","domain_index","domain_index",0.51127176672073,0.840986514614882,0.585159395140002,0.992618633207016
"Gambia","women_vitA",4,3,"rf","domain_index","domain_index","domain_index",0.521820792181504,0.393638283933224,0.492053408936128,0.992618633207016
"Gambia","women_vitA",5,5,"rf","enet","domain_index","mean",0.51535633425117,0.226041204803351,0.431255941013714,0.25
"Gambia","women_vitA",5,3,"rf","domain_index","domain_index","domain_index",0.458172924484962,0.827075805499897,0.502375546819202,0.992618633207016
"Gambia","women_vitA",5,4,"domain_index","domain_index","domain_index","domain_index",0.626853337903276,0.841270538182992,0.592232136749685,0.992618633207016
"Gambia","women_vitA",5,1,"rf","domain_index","domain_index","mean",0.584668766291669,0.863025013636718,0.633177079714114,0.898941069007733
"Gambia","women_vitA",5,2,"rf","domain_index","domain_index","domain_index",0.685556914638958,0.795090475759334,0.639384668801264,0.992618633207016
"Gambia","child_iron",1,4,"rf","domain_index","domain_index","mean",0.472874662462761,0.943552530666181,0.727615205816235,0.00246045559766148
"Gambia","child_iron",1,2,"enet","domain_index","domain_index","domain_index",0.460841301780163,0.727326506636449,0.523830885070555,0.992618633207016
"Gambia","child_iron",1,3,"enet","domain_index","domain_index","mean",0.568443229803656,0.782989438147275,0.82587287294184,0.00246045559766148
"Gambia","child_iron",1,5,"rf","domain_index","domain_index","mean",0.415032851895643,0.713752283065643,0.607734863587095,0.00246045559766148
"Gambia","child_iron",1,1,"rf","domain_index","domain_index","enet",0.357814354663659,0.642267962293216,0.86219384081837,0.00246045559766148
"Gambia","child_iron",2,3,"enet","domain_index","domain_index","rf",0.513317450329133,0.928448929052468,0.937476664090713,0.24359521685123
"Gambia","child_iron",2,5,"rf","domain_index","domain_index","rf",0.505522596499595,0.970257537215708,0.588517884518722,0.00246045559766148
"Gambia","child_iron",2,1,"enet","domain_index","domain_index","rf",0.427876768574713,0.873731643789649,0.850462393619856,0.00331841113082662
"Gambia","child_iron",2,4,"rf","domain_index","domain_index","mean",0.499695885004108,0.832290835462516,0.627483342428015,0.00246045559766148
"Gambia","child_iron",2,2,"rf","domain_index","domain_index","mean",0.457010155699778,0.777689385246947,0.861512583012831,0.00245833942942938
"Gambia","child_iron",3,5,"rf","domain_index","domain_index","rf",0.596351776794124,0.867499274791762,0.70237270560337,0.265987715416455
"Gambia","child_iron",3,1,"enet","domain_index","domain_index","rf",0.617638067650454,0.527201415735227,0.503820099024251,0.246836110497401
"Gambia","child_iron",3,3,"rf","rf","domain_index","mean",0.297457205653932,0.378643141892474,0.739384922332124,0.00245947626872162
"Gambia","child_iron",3,2,"rf","domain_index","domain_index","mean",0.451905219583006,0.925343731041111,0.83485446137135,0.25
"Gambia","child_iron",3,4,"enet","domain_index","enet","rf",0.0148447351989789,0.569807192318583,0,0.00331841113082662
"Gambia","child_iron",4,2,"rf","domain_index","domain_index","mean",0.383358612484696,0.859786620091911,0.678643937331724,0.00246045559766148
"Gambia","child_iron",4,4,"enet","domain_index","domain_index","mean",0.491580818398838,0.877504692437825,0.725896231861571,0.00331841113082662
"Gambia","child_iron",4,5,"domain_index","domain_index","domain_index","mean",0.510903615836449,0.653476754709292,0.78615671549236,0.00246045559766148
"Gambia","child_iron",4,1,"rf","domain_index","domain_index","rf",0.434409788538206,1,0.555677488452287,0.00246045559766148
"Gambia","child_iron",4,3,"rf","domain_index","domain_index","enet",0.506861093232802,0.877778789040962,0.732071057871835,0.241436660469244
"Gambia","child_iron",5,5,"rf","domain_index","domain_index","mean",0.437414949477193,0.667436559892369,0.721814297254835,0.00331841113082662
