"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
75,0.627,0.053,-0.024,53.68,45.04,29.21,0.04,"women_folate","ghana","spatial + decorr20","oracle_national"
75,0.627,0.044,0.103,52.76,42.19,31.68,0.04,"women_folate","ghana","spatial + curated16","train_mean"
75,0.627,0.056,0.103,51.04,45.33,23.45,0.05,"women_folate","ghana","spatial + curated16","oracle_national"
75,0.627,0.345,0.255,43.98,30.18,-32,0.44,"women_folate","ghana","zscore + screen30","train_mean"
75,0.627,0.257,0.255,39.17,39.09,-2.57,0.22,"women_folate","ghana","zscore + screen30","oracle_national"
75,0.627,0.232,0.281,47.52,29.81,-37,0.43,"women_folate","ghana","zscore + decorr20","train_mean"
75,0.627,0.313,0.281,33.38,33.1,-4.33,0.34,"women_folate","ghana","zscore + decorr20","oracle_national"
75,0.627,0.029,-0.021,48,34.15,-33.73,0.05,"women_folate","ghana","zscore + ridge_all","train_mean"
75,0.627,-0.029,-0.021,44.97,44.97,-0.36,-0.03,"women_folate","ghana","zscore + ridge_all","oracle_national"
75,0.627,-0.23,-0.152,51.14,39.05,-33.02,-0.34,"women_folate","ghana","zscore + curated16","train_mean"
75,0.627,-0.161,-0.152,47.98,47.98,-0.47,-0.14,"women_folate","ghana","zscore + curated16","oracle_national"
14,0.773,-0.302,-0.152,81.42,10.21,-80.77,-3933.95,"women_folate","sierraleone","spatial_tps","train_mean"
14,0.773,-0.212,-0.152,18.58,18.06,-4.39,-0.17,"women_folate","sierraleone","spatial_tps","oracle_national"
14,0.773,-0.248,-0.275,81.41,10.21,-80.76,-694.21,"women_folate","sierraleone","spatial + decorr20","train_mean"
14,0.773,-0.33,-0.275,13.32,13.15,-2.1,-0.6,"women_folate","sierraleone","spatial + decorr20","oracle_national"
14,0.773,-0.287,-0.174,81.41,10.22,-80.77,-672.86,"women_folate","sierraleone","spatial + curated16","train_mean"
14,0.773,-0.234,-0.174,16.7,16.26,-3.8,-0.23,"women_folate","sierraleone","spatial + curated16","oracle_national"
14,0.773,0.571,0.367,55.83,30.02,-47.08,0.17,"women_folate","sierraleone","zscore + screen30","train_mean"
14,0.773,0.326,0.367,15.31,14.52,-4.87,0.24,"women_folate","sierraleone","zscore + screen30","oracle_national"
14,0.773,0.616,0.495,54.57,22.86,-49.55,0.23,"women_folate","sierraleone","zscore + decorr20","train_mean"
