"country","outcome","target","predictor","r","p_perm","q_bh"
"Malawi","women_iron","binary","dhs_w_barrier_distance",-0.293,0.00499750124937531,0.3448
"Malawi","women_iron","binary","dhs_w_secondary_plus.x",0.302,0.00599700149925037,0.3448
"Malawi","women_iron","continuous","dhs_w_owns_house",-0.462,0.000499750124937531,0.1635
"Malawi","women_iron","continuous","dhs_FP_CUSA_W_MOD.x",-0.351,0.00149925037481259,0.1635
"Malawi","women_iron","continuous","dhs_FP_CUSA_W_MOD.y",-0.351,0.00149925037481259,0.1635
"Malawi","women_folate","binary","elevation",-0.386,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_m01_t0",0.369,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_m07_t0",0.391,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_m09_t0",0.391,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_m10_t0",0.365,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_m11_t0",0.373,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_m12_t0",0.376,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_annual_mean_t0",0.395,0.000499750124937531,0.0109
"Malawi","women_folate","binary","lst_night_annual_max_t0",0.37,0.000499750124937531,0.0109
"Malawi","women_folate","binary","npp_npp_t0",-0.386,0.000499750124937531,0.0109
"Malawi","women_folate","continuous","lst_night_m05_t0",0.418,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_m06_t0",0.409,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_m07_t0",0.433,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_m08_t0",0.414,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_m09_t0",0.409,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_m12_t0",0.366,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_annual_mean_t0",0.383,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","lst_night_annual_min_t0",0.428,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","npp_npp_t0",-0.389,0.000499750124937531,0.0082
"Malawi","women_folate","continuous","soil_magnesium_mean_0_20.x",0.388,0.000499750124937531,0.0082
"Malawi","women_b12","binary","aef_A02.x",-0.362,0.000499750124937531,0.0589
"Malawi","women_b12","binary","soilgrids_cec.x",-0.411,0.000499750124937531,0.0589
"Malawi","women_b12","binary","aef_A02.y",-0.362,0.000499750124937531,0.0589
"Malawi","women_b12","binary","soilgrids_cec.y",-0.411,0.000499750124937531,0.0589
"Malawi","women_b12","binary","dhs_c_fg_flesh",-0.338,0.000499750124937531,0.0589
"Malawi","women_b12","binary","aef_A25.x",-0.35,0.000999500249875062,0.0736
"Malawi","women_b12","binary","aef_A25.y",-0.35,0.000999500249875062,0.0736
"Malawi","women_b12","binary","dhs_w_sib_adult_deaths",-0.33,0.000999500249875062,0.0736
"Malawi","women_b12","binary","soil_cec_mean_20_50.x",-0.334,0.00199900049975012,0.0872
"Malawi","women_b12","binary","soil_cec_mean_20_50.y",-0.334,0.00199900049975012,0.0872
"Malawi","women_b12","continuous","aod_t0",-0.584,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","elevation",0.409,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","grassland_frac",0.39,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","lcover_water_permanent_frac_t0",-0.451,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","lst_night_m01_t0",-0.379,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","lst_night_m02_t0",-0.402,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","lst_night_m05_t0",-0.55,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","lst_night_m06_t0",-0.605,0.000499750124937531,0.0034
"Malawi","women_b12","continuous","lst_night_m07_t0",-0.575,0.000499750124937531,0.0034
