"unit","min_n","spatial","country","outcome","n_areas","p_used","n_basis","Q_obs","Q_null_mean","Q_ratio","Q_z","p_perm_Q","Tmax_obs","p_perm_Tmax","q_bh_Q","q_bh_Tmax"
"admin2",15,"S3_blockperm","Gambia","women_vitA",27,371,0,0.0769981969730992,0.0588273004113273,1.30888543983353,1.59804430682517,0.0679660169915042,0.584439123445785,0.270364817591204,0.325337331334333,0.695223816663097
"admin2",15,"S3_blockperm","Ghana","women_iron",25,361,0,0.0794835030408594,0.077545739174048,1.02498865685531,0.238917353289131,0.389805097451274,0.626560555982835,0.75512243878061,0.701649175412294,0.831290237234324
"admin2",15,"S3_blockperm","Ghana","child_iron",33,358,0,0.150113196206208,0.113986067953285,1.31694336774323,3.07337883904095,0.00149925037481259,0.761189977332847,0.0109945027486257,0.0269865067466267,0.197901049475262
"admin2",15,"S3_blockperm","Ghana","child_vitA",33,358,0,0.118224487202668,0.108472777830824,1.08990006125826,0.836284701846711,0.209395302348826,0.669797470632249,0.567216391804098,0.538445063182694,0.785376542497982
"admin2",15,"S3_blockperm","SierraLeone","women_folate",14,369,0,0.0851716023854406,0.0894355420292574,0.952323879890817,-0.190257899019983,0.500249875062469,0.714097023430772,0.551724137931034,0.818590704647676,0.785376542497982
"admin2",15,"S3_blockperm","SierraLeone","child_vitA",13,369,0,0.0517785262270141,0.0621299902312251,0.833390219993812,-0.44855435725233,0.59320339830085,0.668844881744179,0.549725137431284,0.889805097451274,0.785376542497982
"admin2",15,"S3_blockperm","SierraLeone","child_iron",13,369,0,0.121205462795647,0.0878810109577501,1.37919968688023,1.32116570855241,0.108445777111444,0.840846430112223,0.122938530734633,0.325337331334333,0.577511244377811
"admin2",15,"S3_blockperm","SierraLeone","women_iron",14,369,0,0.0968288588262212,0.0570252810577883,1.69799880035833,2.5629883483093,0.0204897551224388,0.746675636756972,0.132933533233383,0.184407796101949,0.577511244377811
"admin2",15,"S3_blockperm","SierraLeone","women_vitA",14,369,0,0.0464443454938232,0.0548776208422764,0.846325784190039,-0.53764078316411,0.68015992003998,0.698549583879306,0.221389305347326,0.89183979438852,0.664167916041979
"admin1",0,"S0_none","Malawi","child_vitA",27,369,0,0.0438059237212039,0.0385432244397032,1.13654019242042,0.44804710386165,0.265367316341829,0.510900368930103,0.67616191904048,0.412793603198401,0.728174374351286
"admin1",0,"S0_none","Malawi","child_zinc",27,369,0,0.0322426361265903,0.0384816759644968,0.837869851519393,-0.539808988912303,0.671664167916042,0.477798977175788,0.840579710144927,0.671664167916042,0.840579710144927
"admin1",0,"S0_none","Malawi","women_folate",27,369,0,0.0638434114907841,0.0386734845399423,1.6508316292225,2.12556248729189,0.0384807596201899,0.582625580421458,0.266366816591704,0.0956188572380476,0.414348381364873
"admin1",0,"S0_none","Malawi","women_b12",27,369,0,0.065256282518179,0.038435932183467,1.69779367407273,2.34562962365311,0.0289855072463768,0.62921820614673,0.0984507746126937,0.0956188572380476,0.248375812093953
"admin1",0,"S0_none","Malawi","child_iron",27,369,0,0.0391428567695661,0.0382925104461667,1.0222065963681,0.0730000854525047,0.401799100449775,0.626466414361617,0.106446776611694,0.468765617191404,0.248375812093953
"admin1",0,"S0_none","Malawi","women_iron",27,369,0,0.056613080057215,0.0390087883751546,1.45129039930071,1.50949428015582,0.0774612693653173,0.606747282884811,0.166916541729135,0.154922538730635,0.333833083458271
"admin1",0,"S0_none","Malawi","women_vitA",27,369,0,0.0331438837142696,0.0388936408516627,0.85216716636732,-0.492489947084932,0.646676661669165,0.518513474436103,0.627186406796602,0.671664167916042,0.728174374351286
"admin1",0,"S0_none","Malawi","women_zinc",27,369,0,0.0407091510117732,0.0382841569125302,1.06334197471773,0.203559935844705,0.351824087956022,0.543925789925673,0.467766116941529,0.467493525964291,0.595338694289219
"admin1",0,"S0_none","Ghana","women_iron",16,362,0,0.139552420538088,0.0663068585277597,2.10464533589181,2.27323560327334,0.0409795102448776,0.841973555981461,0.00949525237381309,0.0956188572380476,0.0664667666166917
"admin1",0,"S0_none","Ghana","women_vitA",16,362,0,0.196854262863957,0.0667726067335273,2.94812906810053,3.98026840445168,0.00699650174912544,0.80860306591905,0.0279860069965017,0.0489755122438781,0.110194902548726
"admin1",0,"S0_none","Ghana","women_folate",16,362,0,0.0785028248024004,0.0658103511441478,1.19286439652102,0.396066553725793,0.260869565217391,0.81266710064061,0.0314842578710645,0.412793603198401,0.110194902548726
"admin1",0,"S0_none","Ghana","women_b12",16,362,0,0.0694889316060278,0.0672013533934575,1.0340406568775,0.0697406530142372,0.367316341829085,0.716834027790567,0.241879060469765,0.467493525964291,0.414348381364873
"admin1",0,"S0_none","Ghana","child_iron",16,362,0,0.223446528228186,0.0667611984251532,3.34695202451608,4.85830203306989,0.00249875062468766,0.846955075033912,0.00949525237381309,0.0349825087456272,0.0664667666166917
"admin1",0,"S0_none","Ghana","child_vitA",16,362,0,0.155788682239944,0.0667000729879698,2.33565984654982,2.74938664537303,0.0204897551224388,0.690064625305002,0.347826086956522,0.0956188572380476,0.48695652173913
"admin1",0,"S1_latlon","Malawi","child_vitA",27,369,2,0.0569757938682066,0.038415386445453,1.48315035042295,1.72136296906929,0.0634682658670665,0.567776812691231,0.354822588705647,0.222138930534733,0.476398164554087
"admin1",0,"S1_latlon","Malawi","child_zinc",27,369,2,0.0408090970225738,0.0385149305154065,1.05956564055723,0.216428866387846,0.35432283858071,0.54932319446759,0.441779110444778,0.496051974012993,0.515408962185574
"admin1",0,"S1_latlon","Malawi","women_folate",27,369,2,0.0758397312248558,0.038308642688846,1.97970290518639,3.43993379707108,0.00499750124937531,0.593356957032766,0.219390304847576,0.0699650174912544,0.383933033483258
"admin1",0,"S1_latlon","Malawi","women_b12",27,369,2,0.0425982461857947,0.0383592693651344,1.11050723569081,0.399710099861748,0.286856571714143,0.609869850706299,0.152923538230885,0.446221333777556,0.383933033483258
"admin1",0,"S1_latlon","Malawi","child_iron",27,369,2,0.0388406086288892,0.0385538222535072,1.00743859774775,0.0261384077852448,0.415292353823088,0.597100070081264,0.214892553723138,0.528553904865749,0.383933033483258
"admin1",0,"S1_latlon","Malawi","women_iron",27,369,2,0.0500741333573083,0.0390134077614276,1.28351088075973,1.01235448351579,0.142428785607196,0.702355346156883,0.0129935032483758,0.332333833083458,0.0909545227386307
