"country","cluster","Admin1","Admin2","n_resp","n_dated","date_med","date_min","date_max","month_med","year_med"
"Malawi","389","Rumphi","TA Chikulamayembe",41,29,2016-02-01,2016-01-31,2016-02-01,2,2016
"Malawi","398","Blantyre","Blantyre City",18,9,2015-12-09,2015-12-08,2015-12-09,12,2015
"Malawi","401","Phalombe","TA Mkhumba",25,15,2015-12-12,2015-12-11,2015-12-13,12,2015
"Malawi","405","Rumphi","Rumphi Boma",26,16,2016-01-27,2016-01-27,2016-01-27,1,2016
"Malawi","410","Machinga","TA Kawinga",42,31,2016-01-13,2016-01-13,2016-01-14,1,2016
"Malawi","420","Mzimba","TA Mtwalo",38,23,2016-01-11,2016-01-11,2016-01-12,1,2016
"Malawi","43","Chikwawa","TA Kasisi",27,17,2016-02-01,2016-02-01,2016-02-02,2,2016
"Malawi","435","Mchinji","SC Mduwa",38,29,2016-01-18,2016-01-16,2016-01-18,1,2016
"Malawi","444","Thyolo","SC Mbawela",39,23,2016-01-11,2016-01-11,2016-01-11,1,2016
"Malawi","448","Nkhotakota","TA Mwadzama",41,29,2016-01-19,2016-01-19,2016-01-20,1,2016
"Malawi","459","Karonga","TA Kilupula",24,17,2015-12-14,2015-12-14,2015-12-15,12,2015
"Malawi","461","Chitipa","TA Mwenewenya",39,29,2016-01-25,2016-01-24,2016-01-25,1,2016
"Malawi","464","Mzimba","TA M'Mbelwa",34,24,2016-02-11,2016-02-11,2016-02-11,2,2016
"Malawi","468","Phalombe","TA Mkhumba",26,14,2016-01-29,2016-01-29,2016-01-30,1,2016
"Malawi","497","Rumphi","SC Chapinduka",29,20,2016-01-29,2016-01-29,2016-01-30,1,2016
"Malawi","498","Dowa","SC Mponela",25,15,2016-02-09,2016-02-09,2016-02-09,2,2016
"Malawi","5","Mchinji","TA Mlonyeni",32,19,2016-01-26,2016-01-21,2016-01-27,1,2016
"Malawi","503","Thyolo","TA Bvumbwe",39,21,2016-02-07,2016-02-07,2016-02-07,2,2016
"Malawi","505","Chikwawa","TA Lundu",30,17,2016-02-04,2016-02-04,2016-02-04,2,2016
"Malawi","507","Karonga","TA Kyungu",33,24,2016-01-19,2016-01-19,2016-01-20,1,2016
"Malawi","511","Dedza","TA Tambala",42,29,2016-02-11,2016-02-10,2016-02-11,2,2016
"Malawi","517","Lilongwe","TA Chiseka",28,15,2015-12-19,2015-12-18,2015-12-19,12,2015
"Malawi","531","Nkhata Bay","SC Malanda",14,8,2016-02-02,2016-02-02,2016-02-03,2,2016
"Malawi","566","Machinga","SC Chikweo",27,21,2016-01-18,2016-01-18,2016-01-19,1,2016
"Malawi","571","Nkhata Bay","TA Fukamapiri",35,27,2016-02-07,2016-02-07,2016-02-08,2,2016
"Malawi","58","Nsanje","TA Ndamera",26,19,2016-01-29,2016-01-29,2016-01-29,1,2016
"Malawi","593","Chiradzulu","TA Kadewere",36,25,2016-02-11,2016-02-11,2016-02-12,2,2016
"Malawi","6","Mzimba","TA Chindi",35,24,2015-12-19,2015-12-19,2015-12-20,12,2015
"Malawi","601","Ntcheu","SC Makwangwala",37,23,2016-02-02,2016-02-02,2016-02-03,2,2016
"Malawi","607","Nkhotakota","TA Kanyenda",38,28,2016-01-13,2016-01-13,2016-01-14,1,2016
"Malawi","64","Zomba","TA Malemia",26,20,2016-01-20,2016-01-20,2016-01-21,1,2016
"Malawi","641","Nkhata Bay","Lake Malawi",27,21,2015-12-22,2015-12-21,2015-12-22,12,2015
"Malawi","665","Ntchisi","SC Chilooko",26,18,2016-02-03,2016-02-02,2016-02-03,2,2016
"Malawi","670","Dowa","SC Mkukula",29,16,2016-02-04,2016-02-04,2016-02-05,2,2016
"Malawi","676","Mzimba","Mzimba Boma",22,14,2016-02-14,2016-02-12,2016-02-15,2,2016
"Malawi","704","Thyolo","TA Nchilamwela",6,1,2016-01-21,2016-01-21,2016-01-21,1,2016
"Malawi","720","Mwanza","Majete Game Reserve - Mwanza",41,26,2016-01-18,2016-01-18,2016-01-19,1,2016
"Malawi","736","Mchinji","SC Dambe",47,30,2016-01-14,2016-01-14,2016-01-15,1,2016
"Malawi","74","Mwanza","TA Nthache",31,20,2016-01-16,2016-01-16,2016-01-16,1,2016
"Malawi","743","Balaka","TA Kalembo",26,20,2015-12-12,2015-12-11,2015-12-14,12,2015
"Malawi","772","Kasungu","TA Santhe",37,23,2016-01-12,2016-01-11,2016-01-12,1,2016
"Malawi","777","Lilongwe","Lilongwe City",21,12,2016-01-20,2016-01-16,2016-01-20,1,2016
"Malawi","780","Rumphi","SC Mwankhunikira",27,18,2016-02-01,2016-01-30,2016-02-01,2,2016
"Malawi","782","Neno","TA Ngozi",32,20,2015-12-19,2015-12-18,2015-12-20,12,2015
"Malawi","813","Chitipa","TA Mwenemisuku",16,12,2015-12-20,2015-12-20,2015-12-20,12,2015
"Malawi","817","Chitipa","TA Mwenemisuku",33,21,2016-01-22,2016-01-22,2016-01-22,1,2016
"Malawi","822","Kasungu","TA Mwase",30,19,2015-12-18,2015-12-18,2015-12-19,12,2015
"Malawi","825","Salima","TA Khombedza",18,13,2016-01-26,2016-01-26,2016-01-26,1,2016
"Malawi","827","Nkhotakota","Nkhotakota Boma",16,10,2016-01-18,2016-01-18,2016-01-18,1,2016
"Malawi","829","Dedza","TA Pemba",38,27,2016-02-13,2016-02-12,2016-02-13,2,2016
"Malawi","830","Karonga","TA Kyungu",30,22,2016-02-15,2016-02-15,2016-02-15,2,2016
"Malawi","832","Ntcheu","SC Goodson Ganya",29,17,2016-01-31,2016-01-31,2016-02-01,1,2016
"Malawi","836","Dowa","SC Kayembe",28,21,2016-02-06,2016-02-06,2016-02-06,2,2016
"Malawi","842","Zomba","SC Mbiza",33,24,2016-01-23,2016-01-23,2016-01-25,1,2016
"Malawi","86","Chitipa","Nyika N.P. - Chitipa",16,10,2016-01-16,2016-01-16,2016-01-16,1,2016
"Malawi","96","Mulanje","TA Mabuka",30,16,2016-02-03,2016-02-03,2016-02-04,2,2016
"SierraLeone","1","Eastern","Kailahun",9,7,2013-11-19,2013-11-10,2013-12-05,11,2013
