"tier","target","outcome","heldout","n_units","rho_full","rho_cs","rho_urb_only","rho_full_resid","rho_cs_resid","partial_full","partial_cs","rho_full_plus_urb","rho_cs_plus_urb","cor_y_urb","cor_cs_urb","cor_full_urb"
"admin1","level","child_iron","SierraLeone",4,-0.4,0.2,-0.8,0.2,0.4,NA,NA,-0.8,0.2,0.8,0.4,0
"admin1","level","women_iron","Gambia",6,0.485714285714286,0.657142857142857,-0.828571428571429,0.714285714285714,0.657142857142857,0.662912607362388,0.35721725415588,0.314285714285714,0.657142857142857,-0.828571428571429,-0.6,-0.142857142857143
"admin1","level","women_iron","Ghana",16,0.491176470588235,0.494117647058823,-0.352941176470588,0.597058823529412,0.494117647058823,0.572004501917068,0.628320802735885,0.488235294117647,0.452941176470588,0.352941176470588,-0.223529411764706,-0.114705882352941
"admin1","level","women_iron","Malawi",27,0.2002442002442,0.592796092796093,-0.0641025641025641,0.137362637362637,0.550671550671551,0.268168236508043,0.622236284963645,0.184981684981685,0.590964590964591,-0.0641025641025641,0.214285714285714,0.497557997557998
"admin1","level","women_iron","SierraLeone",4,0,0.8,-1,0.4,0.8,NA,NA,0,0.8,1,0.8,0
"admin1","level","women_folate","Ghana",16,-0.0323529411764706,-0.202941176470588,0.305882352941176,-0.135294117647059,-0.197058823529412,0.100799774195111,-0.019859483756029,-0.0352941176470588,-0.161764705882353,-0.305882352941176,0.614705882352941,0.394117647058824
"admin1","level","women_folate","Malawi",27,0.231990231990232,0.224664224664225,0.115384615384615,0.0555555555555556,0.0390720390720391,0.203353465027364,0.268170380133001,0.236263736263736,0.277167277167277,-0.115384615384615,0.273504273504273,-0.43040293040293
"admin1","level","women_folate","SierraLeone",4,-0.8,-0.8,0.4,-0.8,-0.8,NA,NA,-0.4,-0.6,-0.4,0.8,0
"admin1","level","women_b12","Ghana",16,0.667647058823529,0.658823529411765,-0.273529411764706,0.682352941176471,0.602941176470588,0.66691213514363,0.644390231895781,0.688235294117647,0.667647058823529,-0.273529411764706,-0.605882352941176,-0.641176470588235
"admin1","level","women_b12","Malawi",27,0.492063492063492,0.750915750915751,-0.302808302808303,0.437118437118437,0.616605616605617,0.564574067307275,0.721480253939984,0.446275946275946,0.708180708180708,0.302808302808303,0.372405372405372,-0.135531135531136
"admin1","level","women_b12","SierraLeone",4,0.8,0.8,-0.8,0.8,0.8,NA,NA,0.8,0.8,-0.8,-0.4,-0.4
