"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Dzoole",-0.186756121063737,-0.656751058578055
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Karonga Town",-0.903510262598657,-3.17730587901476
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kilupula",-0.391438348506976,-1.37654149318225
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kyungu",-0.639290842217354,-2.24814552248177
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Wasambo",-1.16802085207708,-4.10749016778447
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Kawamba",0.250152863768473,0.879693565868224
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kaluluma",-1.00090564332141,-3.51980881292636
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mwase",-0.49386832337402,-1.73674920172154
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Santhe",0.303751955150233,1.06818141731476
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Lilongwe City",-0.0929718485610738,-0.326947034521054
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Chiseka",1.46093630637359,5.13756368605726
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kabudula",0.482248214837923,1.69588564909255
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Khongoni",0.55302409142755,1.94477779574494
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kawinga",0.4025996076355,1.41579144496949
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Chowe",1.1088620163929,3.89945078605747
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mponda",0.785605288161915,2.76267841549767
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Nankumba",1.07148676774832,3.76801608944813
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Dambe",0.65199671404899,2.29282729638055
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Mduwa",1.08998406252085,3.8330641202891
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mlonyeni",1.43158238266412,5.03433697327371
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Zulu",1.18867418906468,4.18012018843661
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Juma",-0.325429585467144,-1.14441349247783
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mabuka",-0.0412730856763102,-0.145141923886118
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Majete Game Reserve - Mwanza",0.967421566101701,3.40205790316075
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Nthache",0.459200021719991,1.61483381988184
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Mzimba Boma",-1.81217702574853,-6.37274523165427
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Mzuzu City",-2.50210647334306,-8.7989676894298
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Chindi",-1.1478540824318,-4.03657122152877
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA M'Mbelwa",-0.984025692124974,-3.46044837133087
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mabulabo",-0.967421566101701,-3.40205790316075
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mtwalo",-1.71459365376609,-6.02958120316596
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Ngozi",-0.05159960181383,-0.181456398432443
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Symon",0.0722702607492868,0.25414733386226
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Malanda",-1.23157737745197,-4.33099457064822
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Fukamapiri",-1.05334899812895,-3.70423237339153
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kabunduli",-1.43158238266412,-5.03433697327371
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Musisya",-1.86824165486393,-6.56990345228233
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Timbiri",-1.27687582425257,-4.49029217609636
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Nkhotakota Boma",-0.134503915345218,-0.472999697588052
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kanyenda",-0.529140744145128,-1.86078904335077
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Malenga Chanzi",0.218344770767368,0.767836462439227
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mwadzama",0.589455797849779,2.07289440912458
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Nsanje Boma",1.76129018513183,6.19379534635812
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Mbenje",1.86824165486393,6.56990345228233
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Ndamera",2.08535556603183,7.3334114443062
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Goodson Ganya",0.614182630132667,2.15984938112
