"country","outcome","estimand","arm","rep","n_areas","capture_top20","lift","prev_top20","prev_national","concordance"
"Ghana","women_folate","infill","oracle_ceiling",1,75,0.250662712680713,1.25331356340357,0.89895105949618,0.509976748106036,1
"Ghana","women_b12","infill","null_train_mean",1,75,0.13141198487557,0.657059924377852,0.0426679538965944,0.0781429861432408,0.38112927191679
"Ghana","women_b12","infill","region_mean_jk",1,75,0.477632580877472,2.38816290438736,0.234791454131434,0.0781429861432408,0.629559748427673
"Ghana","women_b12","infill","spatial",1,75,0.429851361673449,2.14925680836724,0.210383462189463,0.0781429861432408,0.682530120481928
"Ghana","women_b12","infill","domain_index",1,75,0.46294237634284,2.3147118817142,0.234383576102431,0.0781429861432408,0.652409638554217
"Ghana","women_b12","infill","spatial_plus_domain",1,75,0.429851361673449,2.14925680836724,0.210383462189463,0.0781429861432408,0.682530120481928
"Ghana","women_b12","infill","null_train_mean",2,75,0.0744357207561543,0.372178603780772,0.027080061591865,0.0781429861432408,0.372490706319703
"Ghana","women_b12","infill","region_mean_jk",2,75,0.451733265128167,2.25866632564084,0.222730408009061,0.0781429861432408,0.625651041666667
"Ghana","women_b12","infill","spatial",2,75,0.376263776837573,1.88131888418786,0.187917075524713,0.0781429861432408,0.668674698795181
"Ghana","women_b12","infill","domain_index",2,75,0.492938026236565,2.46469013118283,0.24180168800269,0.0781429861432408,0.640963855421687
"Ghana","women_b12","infill","spatial_plus_domain",2,75,0.376263776837573,1.88131888418786,0.187917075524713,0.0781429861432408,0.669879518072289
"Ghana","women_b12","infill","null_train_mean",3,75,0.0855910412212067,0.427955206106034,0.0421379600615282,0.0781429861432408,0.319022945965951
"Ghana","women_b12","infill","region_mean_jk",3,75,0.455044452843619,2.2752222642181,0.229162182072913,0.0781429861432408,0.625322997416021
"Ghana","women_b12","infill","spatial",3,75,0.459847011567174,2.29923505783587,0.219633598192317,0.0781429861432408,0.655421686746988
"Ghana","women_b12","infill","domain_index",3,75,0.492938026236565,2.46469013118283,0.24180168800269,0.0781429861432408,0.649397590361446
"Ghana","women_b12","infill","spatial_plus_domain",3,75,0.459847011567174,2.29923505783587,0.219633598192317,0.0781429861432408,0.655421686746988
"Ghana","women_b12","infill","null_train_mean",4,75,0.0526052102278436,0.263026051139218,0.0306379092947933,0.0781429861432408,0.263235294117647
"Ghana","women_b12","infill","region_mean_jk",4,75,0.503480262383961,2.5174013119198,0.236361035730408,0.0781429861432408,0.678548695098663
"Ghana","women_b12","infill","spatial",4,75,0.146304406448985,0.731522032244924,0.0761865182361468,0.0781429861432408,0.62289156626506
"Ghana","women_b12","infill","domain_index",4,75,0.361602592683176,1.80801296341588,0.193073244552278,0.0781429861432408,0.629518072289157
"Ghana","women_b12","infill","spatial_plus_domain",4,75,0.243171024740174,1.21585512370087,0.126975983557827,0.0781429861432408,0.619879518072289
"Ghana","women_b12","infill","null_train_mean",5,75,0.117170292493067,0.585851462465333,0.0449829231442193,0.0781429861432408,0.372767857142857
"Ghana","women_b12","infill","region_mean_jk",5,75,0.451733265128167,2.25866632564084,0.21999641750514,0.0781429861432408,0.600257898130239
