"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Ghana","women_iron",4,3,"rf","rf",0.0919764957310627,0.351903583276518,0.413037715175974,0.290448214050457
"Ghana","women_iron",4,5,"rf","rf",0.0686851795227011,0.307630575977363,0,0.12027432612049
"Ghana","women_iron",5,2,"rf","rf",0.0916416573910282,0.388922067309223,0,0.095287178867945
"Ghana","women_iron",5,3,"rf","rf",0.00489413203037048,0.277297523493631,0.215062369394438,0.148440076309774
"Ghana","women_iron",5,5,"mean","domain_index",0.142911754594596,0.623978559724789,0.857088245405404,0.296885172532436
"Ghana","women_iron",5,1,"rf","domain_index",0.223174847171665,0.584557436489176,0.464089007905757,0.0281428174859655
"Ghana","women_iron",5,4,"rf","rf",0.0193857566374721,0.165506681176271,0,0.21128313649353
"Ghana","women_folate",1,1,"rf","rf",0,0.426468179268651,0,0.293094189086164
"Ghana","women_folate",1,3,"enet","rf",0,0,0.107507755701944,0.26891035844
"Ghana","women_folate",1,4,"enet","enet",0,0.189177496784557,0,0
"Ghana","women_folate",1,5,"rf","rf",0.100274338727232,0.326090971807088,0,0.0346279676678405
"Ghana","women_folate",1,2,"rf","domain_index",0.0583229967842517,0.522356682468647,0,0.0358161991511224
"Ghana","women_folate",2,2,"enet","enet",0.0720339024894525,0.10140154152775,0,0.0823134872522611
"Ghana","women_folate",2,3,"rf","enet",0,0,0,0.134699070961729
"Ghana","women_folate",2,1,"rf","rf",0,0.344597875756357,0,0.136865353570552
"Ghana","women_folate",2,4,"rf","rf",0.06035343349341,0.0113644284331505,0,0.0668887311149095
"Ghana","women_folate",2,5,"rf","rf",0,0,0,0.176671436203189
"Ghana","women_folate",3,5,"rf","rf",0,0,0,0.188233599989165
"Ghana","women_folate",3,1,"rf","domain_index",0.157094812475235,0.592654641748237,0.0545482200492168,0.249462764323496
"Ghana","women_folate",3,4,"enet","enet",0.0904196550709224,0.0635200643752438,0,0.101313572491849
"Ghana","women_folate",3,3,"enet","enet",0.157875757687117,0.255787873212334,0,0.0945520785791036
"Ghana","women_folate",3,2,"rf","rf",0,0,0,0.178390875027542
"Ghana","women_folate",4,1,"enet","enet",0,0,0,0.0127852604027797
"Ghana","women_folate",4,2,"rf","rf",0,0.0822673777228308,0,0.366432595382028
"Ghana","women_folate",4,4,"enet","enet",0.0605864632183655,0.0167937238583021,0,0.0962055219233654
"Ghana","women_folate",4,3,"enet","enet",0,0,0,0.22355409040174
"Ghana","women_folate",4,5,"rf","rf",0,0.0484212337181229,0,0.207112076653833
"Ghana","women_folate",5,2,"rf","rf",0,0.113330313249513,0,0.127334443937419
"Ghana","women_folate",5,3,"rf","rf",0,0,0,0.222042082775383
"Ghana","women_folate",5,5,"enet","enet",0,0,0,0.161614222440803
"Ghana","women_folate",5,1,"enet","enet",0,0,0,0.126499026145837
"Ghana","women_folate",5,4,"enet","enet",0.246945787457105,0.209745848171192,0,0.0949224880443498
"Ghana","women_b12",1,1,"rf","rf",0,0.384553829301233,0,0.0233791521995654
"Ghana","women_b12",1,3,"rf","domain_index",0.254176869233021,0.802180396712764,0.445507321689277,0.197819603287236
"Ghana","women_b12",1,4,"rf","rf",0,0.428223076997466,0.055047139398009,0.159677413375889
"Ghana","women_b12",1,5,"rf","enet",0,0.273814585638595,0.133237508532595,0.0857080409640481
"Ghana","women_b12",1,2,"rf","domain_index",0.246035816106223,0.690467155444806,0.526115795969774,0.171950421195034
"Ghana","women_b12",2,2,"rf","rf",0.0339464402154244,0.409486777990429,0.355362307574756,0.239050305783004
"Ghana","women_b12",2,3,"rf","domain_index",0.0841244475123542,0.552489552229912,0.25578122022257,0.176880210333188
