"country","outcome","Admin1","Admin2","rank","variable","shap","direction"
"Gambia","child_vitA","Upper River","Fulladu East",1,"MAP_202106_Antimalarial_Effective_Treatment",0.0271597309163255,"increases risk"
"Gambia","child_vitA","Upper River","Fulladu East",2,"gee_trmm_Jan_10km",0.0172207863718417,"increases risk"
"Gambia","child_vitA","Upper River","Fulladu East",3,"mics_ec_risk_h_2_se",-0.00786127407675068,"decreases risk"
"Gambia","child_vitA","Upper River","Fulladu East",4,"gee_temp_10km_seasonal_sd",-0.00697074107394609,"decreases risk"
"Gambia","child_vitA","Upper River","Fulladu East",5,"dhs2019_hh_improved_floor_adm2.y",-0.00559911690694804,"decreases risk"
"Gambia","child_vitA","Maccarthy Island","Fulladu West",1,"dhs2019_CH_VACC_C_MSL_adm2.y",0.0337166899587231,"increases risk"
"Gambia","child_vitA","Maccarthy Island","Fulladu West",2,"mics_ec_risk_h_2_se",0.0248906128569571,"increases risk"
"Gambia","child_vitA","Maccarthy Island","Fulladu West",3,"gee_trmm_Jan_10km",0.0201130544580099,"increases risk"
"Gambia","child_vitA","Maccarthy Island","Fulladu West",4,"dhs2019_hh_improved_floor_adm2.y",0.0195827509886403,"increases risk"
"Gambia","child_vitA","Maccarthy Island","Fulladu West",5,"MAP_202106_Antimalarial_Effective_Treatment",0.0151323641476157,"increases risk"
"Gambia","child_vitA","Lower River","Jarra East",1,"MAP_202106_Antimalarial_Effective_Treatment",0.0337256696199646,"increases risk"
"Gambia","child_vitA","Lower River","Jarra East",2,"mics_ec_risk_h_2_se",-0.0192109212607324,"decreases risk"
"Gambia","child_vitA","Lower River","Jarra East",3,"dhs2019_w_bmi_low_adm2.y",-0.0134223812156928,"decreases risk"
"Gambia","child_vitA","Lower River","Jarra East",4,"gee_trmm_Jan_10km",0.0107869519484351,"increases risk"
"Gambia","child_vitA","Lower River","Jarra East",5,"dhs2019_c_malaria_rdt_adm2.y",-0.00643215480819198,"decreases risk"
"Gambia","child_vitA","Lower River","Jarra West",1,"MAP_202106_Antimalarial_Effective_Treatment",-0.0230684767158344,"decreases risk"
"Gambia","child_vitA","Lower River","Jarra West",2,"mics_ec_risk_h_2_se",-0.0175788866466045,"decreases risk"
"Gambia","child_vitA","Lower River","Jarra West",3,"gee_productivity_2018_annual_min",-0.0107380964921213,"decreases risk"
"Gambia","child_vitA","Lower River","Jarra West",4,"dhs2019_CH_VACC_C_MSL_adm2.y",0.00964721202315561,"increases risk"
"Gambia","child_vitA","Lower River","Jarra West",5,"dhs2019_w_bmi_low_adm2.y",-0.00590544574350641,"decreases risk"
"Gambia","child_vitA","North Bank","Jokadu",1,"MAP_202106_Antimalarial_Effective_Treatment",-0.0221224486684715,"decreases risk"
"Gambia","child_vitA","North Bank","Jokadu",2,"gee_trmm_Jan_10km",0.0147414291854914,"increases risk"
"Gambia","child_vitA","North Bank","Jokadu",3,"mics_ec_risk_h_2_se",-0.0139847931583519,"decreases risk"
"Gambia","child_vitA","North Bank","Jokadu",4,"dhs2019_CH_VACC_C_MSL_adm2.y",0.0139166028325652,"increases risk"
"Gambia","child_vitA","North Bank","Jokadu",5,"map2_explorer_2017_non_malarial_fever",-0.0102077609574281,"decreases risk"
"Gambia","child_vitA","Banjul","Kanifing",1,"gee_trmm_Jan_10km",-0.0281610212603572,"decreases risk"
"Gambia","child_vitA","Banjul","Kanifing",2,"dhs2019_CH_VACC_C_MSL_adm2.y",-0.0249695865117402,"decreases risk"
"Gambia","child_vitA","Banjul","Kanifing",3,"MAP_202106_Antimalarial_Effective_Treatment",-0.0164486585571648,"decreases risk"
"Gambia","child_vitA","Banjul","Kanifing",4,"dhs2019_w_any_media_adm2.y",-0.00997818063332794,"decreases risk"
"Gambia","child_vitA","Banjul","Kanifing",5,"dhs2019_hh_improved_floor_adm2.y",-0.00792180293277341,"decreases risk"
"Gambia","child_vitA","Upper River","Kantora",1,"MAP_202106_Antimalarial_Effective_Treatment",0.150998547077168,"increases risk"
"Gambia","child_vitA","Upper River","Kantora",2,"dhs2019_c_malaria_rdt_adm2.y",0.053154584475701,"increases risk"
"Gambia","child_vitA","Upper River","Kantora",3,"dhs2019_CH_VACC_C_MSL_adm2.y",0.0326329557614137,"increases risk"
"Gambia","child_vitA","Upper River","Kantora",4,"dhs2019_w_any_media_adm2.y",0.0289282078094894,"increases risk"
"Gambia","child_vitA","Upper River","Kantora",5,"dhs2019_w_bmi_low_adm2.y",-0.0224576948763164,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang Central",1,"mics_ec_risk_h_2_se",-0.0187348460851374,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang Central",2,"MAP_202106_Antimalarial_Effective_Treatment",-0.0179495808514798,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang Central",3,"dhs2019_hh_improved_floor_adm2.y",0.0097612537353571,"increases risk"
"Gambia","child_vitA","Lower River","Kiang Central",4,"dhs2019_w_bmi_low_adm2.y",-0.00872676419590741,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang Central",5,"dhs2019_w_any_media_adm2.y",0.00828609194087336,"increases risk"
"Gambia","child_vitA","Lower River","Kiang East",1,"MAP_202106_Antimalarial_Effective_Treatment",-0.0200009633978252,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang East",2,"mics_ec_risk_h_2_se",-0.0180237020022396,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang East",3,"dhs2019_w_bmi_low_adm2.y",0.0160285239636229,"increases risk"
"Gambia","child_vitA","Lower River","Kiang East",4,"dhs2019_c_malaria_rdt_adm2.y",-0.00584166187327727,"decreases risk"
"Gambia","child_vitA","Lower River","Kiang East",5,"map2_explorer_2017_non_malarial_fever",-0.00503801766679719,"decreases risk"
"Gambia","child_vitA","Western","Kombo Central",1,"gee_trmm_Jan_10km",-0.0181262575602077,"decreases risk"
"Gambia","child_vitA","Western","Kombo Central",2,"gee_productivity_2018_annual_min",-0.0179330298007756,"decreases risk"
"Gambia","child_vitA","Western","Kombo Central",3,"MAP_202106_Antimalarial_Effective_Treatment",-0.01443567872659,"decreases risk"
"Gambia","child_vitA","Western","Kombo Central",4,"map2_explorer_2017_non_malarial_fever",-0.0085872173530713,"decreases risk"
"Gambia","child_vitA","Western","Kombo Central",5,"dhs2019_w_any_media_adm2.y",-0.00759224202825833,"decreases risk"
"Gambia","child_vitA","Western","Kombo East",1,"gee_trmm_Jan_10km",-0.0183906599632873,"decreases risk"
"Gambia","child_vitA","Western","Kombo East",2,"dhs2019_CH_VACC_C_MSL_adm2.y",-0.0171552857833727,"decreases risk"
