country,outcome,arm,n_admin2,pearson_r,mae_pp,bias_pp,abs_bias_pp,r_max_emp,r_share_emp
Malawi,women_folate,4 national anchor,87,0.2694,16.24,-0.1,0.1,0.8305,0.324
Malawi,women_folate,"5 ADMIN-1 anchor (hard, JACKKNIFE)",75,0.3751,16.69,1.23,1.23,0.8305,0.452
Malawi,women_folate,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.2008,16.41,-1.64,1.64,0.8305,0.242
Malawi,women_b12,1 no anchor (LORO),87,0.1042,3.61,-1.73,1.73,0,NA
Malawi,women_b12,2a flat REGIONAL mean (no covariates),87,0.6081,2.83,-0.19,0.19,0,NA
Malawi,women_b12,2a flat NATIONAL mean (no covariates),87,NA,4.23,-0.72,0.72,0,NA
Malawi,women_b12,3 ADMIN-1 anchor (hard),87,0.3968,3.81,0.08,0.08,0,NA
Malawi,women_b12,3 ADMIN-1 anchor (shrunk),87,0.3247,3.77,-0.83,0.83,0,NA
Malawi,women_b12,4 national anchor,87,0.1064,4.29,-0.32,0.32,0,NA
Malawi,women_b12,"5 ADMIN-1 anchor (hard, JACKKNIFE)",38,-0.0752,8.11,2.08,2.08,0,NA
Malawi,women_b12,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.2675,4.25,0,0,0,NA
Malawi,child_zinc,1 no anchor (LORO),87,-0.2817,25.82,0.24,0.24,0.7985,-0.353
Malawi,child_zinc,2a flat REGIONAL mean (no covariates),87,0.5478,15.93,0.43,0.43,0.7985,0.686
Malawi,child_zinc,2a flat NATIONAL mean (no covariates),87,NA,19.78,3.37,3.37,0.7985,NA
Malawi,child_zinc,3 ADMIN-1 anchor (hard),87,0.268,20.93,2.79,2.79,0.7985,0.336
Malawi,child_zinc,3 ADMIN-1 anchor (shrunk),87,0.1617,21.21,3.77,3.77,0.7985,0.203
Malawi,child_zinc,4 national anchor,87,-0.2578,25.88,6.56,6.56,0.7985,-0.323
Malawi,child_zinc,"5 ADMIN-1 anchor (hard, JACKKNIFE)",84,-0.056,28.59,1.14,1.14,0.7985,-0.07
Malawi,child_zinc,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.082,21.43,3.83,3.83,0.7985,0.103
Malawi,women_zinc,1 no anchor (LORO),87,-0.3223,27.45,8.33,8.33,0.7909,-0.407
Malawi,women_zinc,2a flat REGIONAL mean (no covariates),87,0.5921,16.21,-2.24,2.24,0.7909,0.749
Malawi,women_zinc,2a flat NATIONAL mean (no covariates),87,NA,22.58,0.09,0.09,0.7909,NA
Malawi,women_zinc,3 ADMIN-1 anchor (hard),87,0.3272,20.66,-3.87,3.87,0.7909,0.414
Malawi,women_zinc,3 ADMIN-1 anchor (shrunk),87,0.2413,21.22,-2.36,2.36,0.7909,0.305
Malawi,women_zinc,4 national anchor,87,-0.3244,27.26,1.19,1.19,0.7909,-0.41
Malawi,women_zinc,"5 ADMIN-1 anchor (hard, JACKKNIFE)",83,0.0742,26.3,-2.56,2.56,0.7909,0.094
Malawi,women_zinc,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",87,0.1274,22.29,-2.1,2.1,0.7909,0.161
