"column","rule_id","country","survey_year","year_used","has_data","year_offset"
"dhs_c_measles1","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_measles1","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_measles1","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_measles1","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_min_diet_diversity","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_min_diet_diversity","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_min_diet_diversity","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_min_diet_diversity","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_neonatal_death","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_neonatal_death","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_neonatal_death","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_neonatal_death","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_no_vaccination","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_no_vaccination","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_no_vaccination","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_no_vaccination","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_overweight","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_overweight","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_overweight","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_overweight","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_polio3","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_polio3","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_polio3","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_polio3","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_severely_stunted","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_severely_stunted","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_severely_stunted","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_severely_stunted","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_severely_wasted","dhs_round","Gambia",2018,2019,TRUE,1
"dhs_c_severely_wasted","dhs_round","Ghana",2017,2014,TRUE,-3
"dhs_c_severely_wasted","dhs_round","Malawi",2016,2015,TRUE,-1
"dhs_c_severely_wasted","dhs_round","SierraLeone",2013,2013,TRUE,0
"dhs_c_slept_itn","dhs_round","Gambia",2018,2019,TRUE,1
