strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
model_cv,zero_clusters,0.6,7,19.699591419131256,14.832899632522537,10,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,23,10.43141593080662,8.698371394360555,10,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,7,17.002406220071265,13.23291134084168,10,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,23,5.369188447902054,3.0118049952584265,11,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,7,19.09637529208031,16.055442768323598,11,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,23,11.184487729786069,8.978013078951665,11,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,7,17.932328536398217,15.198543992681286,11,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,23,10.8142712954357,9.264909634017108,11,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,7,18.72429592685386,14.592988041744581,11,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,23,3.4020341934113256,2.0895623675349038,12,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,7,11.676380587922086,8.22621186660897,12,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,23,13.739755483546926,11.236885528513072,12,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,7,8.2540723855619,6.961064627997911,12,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,23,14.743121522473404,11.174331327975155,12,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,7,8.321829585565842,6.879065394930738,12,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,22,2.860955264129461,1.7106515605228727,13,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,8,13.804931122873546,10.890943888725724,13,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,22,12.400277061779592,9.763779457087784,13,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,8,13.055994740435109,11.417676193520746,13,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,22,14.434646892980183,11.542778861613412,13,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,8,12.278033472986225,10.91407662396095,13,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,24,3.3669783393689654,1.959719091641467,14,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,6,20.079920520676854,17.61375348949963,14,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,24,11.546553858306295,9.456809427484234,14,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,6,16.73325059716865,13.919683290144391,14,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,24,10.087399411994301,8.162121964612096,14,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.6,6,13.566276822441903,11.771349391436567,14,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.6,24,4.793889882740159,3.0466951567356886,15,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.6,6,24.071784650484254,22.507240025429844,15,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.6,24,9.703057858408894,8.024804767117988,15,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.6,6,23.46770660208282,22.107500787581078,15,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.6,24,8.387631264225943,7.049594520743022,15,70,30,12345,Gambia,child_vitA,full
